iter	RMSE
118	0.5955234606
119	0.5925807726
120	0.5882739873
121	0.5843123592
122	0.5802865118
123	0.5773433965
124	0.5741011079
125	0.5707922864
126	0.5676966691
127	0.5652900084
128	0.5623343043
129	0.5586857026
130	0.5546402791
131	0.5508748394
132	0.5474784536
133	0.5445878807
134	0.5409507925
135	0.5383315188
136	0.5356564557
137	0.5334429086
138	0.5316292107
139	0.5288919376
140	0.5262572986
141	0.5243442298
142	0.5223677223
143	0.520824616
144	0.5184522083
145	0.5154809724
146	0.5127836956
147	0.5112113577
148	0.5093279729
149	0.5081106605
150	0.5061336395
151	0.504144395
152	0.5025537567
153	0.5005051646
154	0.4980928047
155	0.4951908744
156	0.493988725
157	0.4918731624
158	0.4899559884
159	0.4885398086
160	0.4866493293
161	0.4846073491
162	0.48284328
163	0.4810210363
164	0.4790868549
165	0.4773013326
166	0.4753192163
167	0.4738351252
168	0.472614556
169	0.4713400178
170	0.4696511703
171	0.4683350822
172	0.467051671
173	0.4654828176
174	0.4640973282
175	0.4625467663
176	0.4602701545
177	0.4587461769
178	0.4571941347
179	0.4555658774
180	0.4541680046
181	0.4528352774
182	0.451378545
183	0.4494555337
184	0.4479869559
185	0.4464782319
186	0.4445999012
187	0.4435725234
188	0.4421488193
189	0.4407624698
190	0.4399242791
191	0.4383529649
192	0.4370822118
193	0.4360175189
194	0.4352859063
195	0.4345378936
196	0.433159852
197	0.4320331365
198	0.4306092205
199	0.4293031731
200	0.4283218533
201	0.4272879328
202	0.4259914372
203	0.4253620966
204	0.4233812589
205	0.4220567885
206	0.4210872687
207	0.4196468522
208	0.4186839766
209	0.4174970392
210	0.4169130073
211	0.4159811039
212	0.4145138465
213	0.4138257963
214	0.4126943016
215	0.4113296047
216	0.4098233585
217	0.4089705387
218	0.4075570977
219	0.4061965179
220	0.4051949982
221	0.4045544504
222	0.4036499684
223	0.4028936061
224	0.4019621158
225	0.401031002
226	0.4003949795
227	0.3994027619
228	0.3988013835
229	0.3973223616
230	0.3963560158
231	0.3958137276
232	0.3952125939
233	0.3942295095
234	0.3933466641
235	0.3920810085
236	0.3916099593
237	0.3905212719
238	0.3894816426
239	0.3883815443
240	0.3877711499
241	0.3871386903
242	0.3864101501
243	0.3859147204
244	0.3853988513
245	0.3842038237
246	0.3832526701
247	0.3826118234
248	0.3817420198
249	0.3809339192
250	0.380433181
251	0.3795877579
252	0.3786414231
253	0.3777355371
254	0.3772389844
255	0.3764189439
256	0.3755782688
257	0.3750670365
258	0.3739840848
259	0.3735265736
260	0.3728612509
261	0.37213547
262	0.3715431392
263	0.3710285353
264	0.3706675927
265	0.3700087213
266	0.3695387777
267	0.3691347593
268	0.3685933792
269	0.3679418366
270	0.3674897901
271	0.3662459007
272	0.3651042177
273	0.3642503693
274	0.3638128274
275	0.3631825306
276	0.3628614476
277	0.3621073567
278	0.3614523593
279	0.3606760562
280	0.3596598776
281	0.3588057032
282	0.3582871776
283	0.3574463701
284	0.3568493096
285	0.3562612694
286	0.3559660617
287	0.3554328635
288	0.3548555948
289	0.3540233227
290	0.3536045533
291	0.3528670925
292	0.3525843979
293	0.3517946908
294	0.351377166
295	0.3509329245
296	0.3502261013
297	0.349885098
298	0.3488805069
299	0.3484627412
300	0.3481384852
301	0.3476579394
302	0.3473089717
303	0.3470378178
304	0.3465863043
305	0.346194872
306	0.3456493123
307	0.3453939264
308	0.3443477956
309	0.3440504616
310	0.3434864465
311	0.3424044774
312	0.3417059612
313	0.3409323693
314	0.3399218196
315	0.3395081781
316	0.3388328294
317	0.3384597604
318	0.3379302934
319	0.3374204312
320	0.3371179506
321	0.3366620796
322	0.3363110739
323	0.3352918027
324	0.3348907135
325	0.3345151214
326	0.3339846517
327	0.3334588328
328	0.3331716708
329	0.332529323
330	0.3319788485
331	0.3314893729
332	0.3305762841
333	0.3293684137
334	0.3291118517
335	0.3280583811
336	0.3277026443
337	0.327206858
338	0.3268663564
339	0.3259260045
340	0.3245929458
341	0.3240700933
342	0.3235967592
343	0.3233179143
344	0.3230604231
345	0.3223736642
346	0.3221149758
347	0.3217564431
348	0.3208732857
349	0.3206238971
350	0.3196756475
351	0.3194433821
352	0.3191772606
353	0.3188362774
354	0.3185013962
355	0.3179954572
356	0.3168494557
357	0.3165127963
358	0.3155304719
359	0.3150817953
360	0.3146260512
361	0.3144114261
362	0.3140612204
363	0.3137395642
364	0.3128280689
365	0.3124988318
366	0.3123057727
367	0.3114542738
368	0.3110159351
369	0.3104234894
370	0.3099401747
371	0.3096215116
372	0.3094387429
373	0.3090181365
374	0.3083690003
375	0.3079107437
376	0.3070045509
377	0.3060886012
378	0.3056692574
379	0.3050392859
380	0.3041083819
381	0.3038765174
382	0.3028912739
383	0.3026688997
384	0.3015969656
385	0.3013070761
386	0.3007338528
387	0.3004261335
388	0.3001903234
389	0.2997473454
390	0.2994368304
391	0.2991427567
392	0.2988637617
393	0.2985708699
394	0.2979403105
395	0.2970691934
396	0.2961276722
397	0.2955147277
398	0.2949486716
399	0.294555536
400	0.2941701426
401	0.2939144902
402	0.2937047789
403	0.293312327
404	0.2926205806
405	0.2924580948
406	0.2918336863
407	0.2914664134
408	0.2909285597
409	0.2905771642
410	0.2898375978
411	0.2894531192
412	0.2893074678
413	0.2884882046
414	0.2877140566
415	0.2874364575
416	0.2871962307
417	0.2864132153
418	0.2858520231
419	0.2850212292
420	0.2847440722
421	0.2841908791
422	0.2833417902
423	0.2830665821
424	0.2824854223
425	0.2823784305
426	0.2818202057
427	0.2816358589
428	0.2808503248
429	0.2804292648
430	0.2799410062
431	0.2790764153
432	0.278268802
433	0.2780230756
434	0.2775628912
435	0.2773947305
436	0.2767826072
437	0.2762384152
438	0.2755873854
439	0.2747229624
440	0.2742750434
441	0.2741082797
442	0.2738514191
443	0.2733432508
444	0.2729296178
445	0.2725565143
446	0.2720591479
447	0.2715020564
448	0.2711356617
449	0.2707369645
450	0.2704841176
451	0.2700014161
452	0.2697753919
453	0.2692648089
454	0.2690347858
455	0.2686604914
456	0.2684508273
457	0.2681848898
458	0.2676072402
459	0.2670141594
460	0.2664678565
461	0.2661803869
462	0.2658970373
463	0.2656165294
464	0.2650985796
465	0.2645814387
466	0.2636695935
467	0.2635335874
468	0.2631395566
469	0.2626143621
470	0.2622449696
471	0.2620911562
472	0.2616955226
473	0.2615848235
474	0.2614820935
475	0.2611430239
476	0.2606468784
477	0.2603543334
478	0.2601275967
479	0.2597319101
480	0.2595022096
481	0.2590307664
482	0.2588207333
483	0.2583920148
484	0.2579195077
485	0.2570866765
486	0.2568313324
487	0.2561117077
488	0.2558783139
489	0.2554921391
490	0.2550778096
491	0.2548656357
492	0.2546568691
493	0.2539696382
494	0.2536061805
495	0.2532699341
496	0.2530000194
497	0.2524696942
498	0.2522775043
499	0.2518247914
500	0.2515441641
501	0.2513325742
502	0.2508115717
503	0.2501796736
504	0.2498208498
505	0.2497197337
506	0.249456232
507	0.2489419134
508	0.2482565226
509	0.2477548789
510	0.2476745619
511	0.2474301616
512	0.2473418902
513	0.2470533397
514	0.2468317488
515	0.2465397599
516	0.246090309
517	0.2450651946
518	0.244753953
519	0.2443927909
520	0.24396432
521	0.2435448051
522	0.2431557475
523	0.2429605251
524	0.2426687703
525	0.2422635491
526	0.2419009094
527	0.2412000315
528	0.2409790862
529	0.240671531
530	0.2403869058
531	0.2399435737
532	0.2395800166
533	0.239496512
534	0.2390295971
535	0.2387677228
536	0.2383778566
537	0.2379158087
538	0.2377350158
539	0.2369529414
540	0.2369112504
541	0.2367119522
542	0.2364295943
543	0.2356713222
544	0.2352244436
545	0.2351253314
546	0.2350259612
547	0.2346233511
548	0.2342891391
549	0.2341084608
550	0.2340470912
551	0.23376196
552	0.2334847698
553	0.2330980087
554	0.2328200622
555	0.2326307238
556	0.2323684506
557	0.2319326147
558	0.2313111298
559	0.2309240742
560	0.2305042803
561	0.2303538288
562	0.2301846779
563	0.2298423255
564	0.2293333988
565	0.2292783983
566	0.228599545
567	0.2281320717
568	0.2278763595
569	0.2275549731
570	0.227481303
571	0.2272121036
572	0.2269806593
573	0.2267312023
574	0.2265054307
575	0.2262867085
576	0.2260216742
577	0.2256863122
578	0.2253993185
579	0.225043052
580	0.2249858258
581	0.2246237344
582	0.2244368367
583	0.2244138787
584	0.2240123359
585	0.2236286428
586	0.2232816525
587	0.2230056159
588	0.2227669074
589	0.2224623215
590	0.2221874514
591	0.2219993636
592	0.2218182558
593	0.2217967765
594	0.2216094181
595	0.2213852743
596	0.2209477361
597	0.220575689
598	0.2202074847
599	0.2199474359
600	0.2195201159
601	0.2191983873
602	0.218722049
603	0.2184136619
604	0.217956516
605	0.2177783711
606	0.2174972496
607	0.2172665055
608	0.2170453827
609	0.2166225668
610	0.2162284324
611	0.215988024
612	0.2157734196
613	0.2155996607
614	0.215193905
615	0.2149841035
616	0.2146375396
617	0.2142174001
618	0.2137215297
619	0.2135003005
620	0.2129085445
621	0.2122649467
622	0.2118322919
623	0.2114588887
624	0.2112379758
625	0.2108550119
626	0.2106886689
627	0.2104523981
628	0.2102835034
629	0.2101139405
630	0.2096861624
631	0.2094714206
632	0.2092831798
633	0.2090724682
634	0.2088385286
635	0.2086728918
636	0.208556935
637	0.2082811777
638	0.2078812034
639	0.2077877246
640	0.2077161168
641	0.2074484819
642	0.2072987355
643	0.2070188074
644	0.2069442376
645	0.2066573601
646	0.2064188136
647	0.2062270522
648	0.2059788997
649	0.2057071877
650	0.2054555958
651	0.2053066547
652	0.2049978975
653	0.204790002
654	0.2044657005
655	0.2042060257
656	0.2036216499
657	0.2033925096
658	0.203179202
659	0.2028428157
660	0.2025421441
661	0.2024554582
662	0.2022129915
663	0.2019412031
664	0.2015395565
665	0.2012887846
666	0.2010919737
667	0.2007905105
668	0.2006474232
669	0.2004773255
670	0.2002346522
671	0.1997166858
672	0.1995363782
673	0.1991241584
674	0.1987112687
675	0.1986150966
676	0.1983314222
677	0.1979354716
678	0.197711368
679	0.1976584054
680	0.1973870503
681	0.1970098861
682	0.1969940297
683	0.1969056447
684	0.1966336384
685	0.19622957
686	0.1960275587
687	0.1959539969
688	0.1956034009
689	0.1951884934
690	0.1947895172
691	0.1945837964
692	0.1940801608
693	0.1936693011
694	0.1934734759
695	0.1932603234
696	0.192894169
697	0.1926627324
698	0.1922712489
699	0.1920932656
700	0.1919593795
701	0.191659067
702	0.1914668651
703	0.1913410533
704	0.1910435407
705	0.1907197622
706	0.1903666758
707	0.1900731144
708	0.1898553592
709	0.1895383252
710	0.18935966
711	0.1888982827
712	0.188688021
713	0.1884158975
714	0.1881524198
715	0.1879129212
716	0.1877724312
717	0.1874063984
718	0.1872706258
719	0.1868162516
720	0.1863757689
721	0.1862539249
722	0.1860144322
723	0.1858603021
724	0.1856915901
725	0.1854892206
726	0.1853068963
727	0.1850464574
728	0.1849001088
729	0.1846885135
730	0.1843800336
731	0.1841123278
732	0.1841007678
733	0.1839408458
734	0.1837858518
735	0.183615451
736	0.1834924745
737	0.183039509
738	0.1828182377
739	0.1823424169
740	0.1821871184
741	0.1820003855
742	0.1815482607
743	0.181341492
744	0.181323892
745	0.1811285631
746	0.1809206155
747	0.1805932004
748	0.1801333027
749	0.1799818991
750	0.1798474405
751	0.1795680835
752	0.1793687557
753	0.1790997792
754	0.1789537862
755	0.1786086284
756	0.1784699869
757	0.1783416629
758	0.1782132296
759	0.1777765359
760	0.1774210127
761	0.177059538
762	0.1768446496
763	0.1764798865
764	0.1763494267
765	0.1761075795
766	0.1759905252
767	0.1758352783
768	0.1756096517
769	0.1752769715
770	0.1748761122
771	0.1746501659
772	0.1744456128
773	0.1741098272
774	0.1740617668
775	0.1739755195
776	0.1737563903
777	0.1735675571
778	0.1734191845
779	0.1733090096
780	0.1730318109
781	0.1729161604
782	0.1725732392
783	0.1723785364
784	0.1721380537
785	0.1716859633
786	0.1714097032
787	0.1713439013
788	0.171237436
789	0.170933495
790	0.1708135146
791	0.1706018214
792	0.1705339425
793	0.1702354235
794	0.1699361287
795	0.1697911281
796	0.1694444124
797	0.1693764658
798	0.1692368014
799	0.1690877644
800	0.1687613965
801	0.1687461871
802	0.1687132644
803	0.168635375
804	0.1685212315
805	0.168207797
806	0.1680231231
807	0.1679516044
808	0.1678535023
809	0.1678338609
810	0.1677608475
811	0.1674049421
812	0.1671183083
813	0.1670419431
814	0.1668446081
815	0.1665468118
816	0.1662261136
817	0.1660463668
818	0.1658821725
819	0.1655984356
820	0.1653694937
821	0.1652744435
822	0.165033702
823	0.1649786507
824	0.1646836351
825	0.1645244815
826	0.1642184699
827	0.163776068
828	0.1636210027
829	0.1635176435
830	0.1634280922
831	0.1632729288
832	0.1629375021
833	0.1625701545
834	0.1624608954
835	0.16231482
836	0.1622038478
837	0.161915017
838	0.1617476968
839	0.1614691181
840	0.1612793225
841	0.1612678954
842	0.1608147858
843	0.1606922774
844	0.1603676176
845	0.1602365301
846	0.1600880363
847	0.1598794191
848	0.1598242547
849	0.1597030961
850	0.1595540547
851	0.1592966591
852	0.1592361392
853	0.1591220855
854	0.1590301596
855	0.1588152566
856	0.1587900254
857	0.1586647681
858	0.1583564203
859	0.1581787993
860	0.1580481842
861	0.1578112869
862	0.1576918862
863	0.1575555944
864	0.1573910825
865	0.1573399625
866	0.1572041693
867	0.1569256246
868	0.1568487586
869	0.1567150141
870	0.1566227279
871	0.1564672108
872	0.1564171254
873	0.1561274842
874	0.1560374961
875	0.1555960189
876	0.1554496509
877	0.1553643006
878	0.155274777
879	0.1551917632
880	0.1549497139
881	0.1547379758
882	0.1543427052
883	0.1541767509
884	0.1541372469
885	0.1540902997
886	0.1538727969
887	0.153562519
888	0.1530751534
889	0.1528030695
890	0.1526398213
891	0.1523023614
892	0.152203471
893	0.1520749845
894	0.1516957829
895	0.1515712883
896	0.1514489565
897	0.1511764084
898	0.150886311
899	0.1506232761
900	0.1503732553
901	0.1500667538
902	0.1497535246
903	0.1494948556
904	0.1493495971
905	0.1491411026
906	0.1488323597
907	0.1486515636
908	0.1484291784
909	0.1483599465
910	0.1481775252
911	0.1481272494
912	0.1479664364
913	0.1478192369
914	0.147608026
915	0.1474657294
916	0.1472750723
917	0.1470762471
918	0.1467037473
919	0.1464520153
920	0.1463677395
921	0.146049417
922	0.1459716782
923	0.14576245
924	0.1457306553
925	0.1455140056
926	0.1454070303
927	0.145234609
928	0.1451551666
929	0.144931121
930	0.1446138543
931	0.1444591376
932	0.1442413953
933	0.1440822977
934	0.1438860605
935	0.1437652132
936	0.1436590257
937	0.1435482439
938	0.1432514145
939	0.1429851628
940	0.1429685411
941	0.1428908838
942	0.1427739331
943	0.1427188344
944	0.1425902807
945	0.1423086796
946	0.1421168271
947	0.1420858231
948	0.1419721544
949	0.1419260229
950	0.141779915
951	0.141590643
952	0.1413705001
953	0.1411586501
954	0.1410488514
955	0.1409113647
956	0.1408895523
957	0.1407497637
958	0.1405935977
959	0.1402544476
960	0.140218124
961	0.1401554453
962	0.1400441075
963	0.1397653645
964	0.1397194665
965	0.1394811438
966	0.1394417788
967	0.1393151501
968	0.1392426663
969	0.1391853143
970	0.1391268045
971	0.1390512746
972	0.1389442077
973	0.138825062
974	0.1387649639
975	0.1386940831
976	0.1384448616
977	0.1383802096
978	0.1383696966
979	0.1382132361
980	0.1381617491
981	0.138037653
982	0.137939631
983	0.1378220611
984	0.1376512984
985	0.1375531052
986	0.1375142342
987	0.1373963495
988	0.1373252182
989	0.1372760891
990	0.1372536565
991	0.1372295559
992	0.1368407285
993	0.1366371642
994	0.1363934813
995	0.1362926853
996	0.1362411703
997	0.1361220375
998	0.1357849698
999	0.1357249007
